post_timestamp,post_title,post_content,Lap_Label,LapNumber
2024-07-08 00:07:24,경 의 우 승,,41,41.0
2024-07-08 00:07:24,경 드디어우승ㅋㅋㅋㅋㅋㅋㅋㅋㅋ씨발,,41,41.0
2024-07-08 00:07:25,맥라렌 이 미친새끼들아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ㅅㅂ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ어이가 없네,41,41.0
2024-07-08 00:07:26,"경의 품격 """,ㅅㅅㅅㅇㅂㅇㅋㅋㅋㅋㅋㅋ,41,41.0
2024-07-08 00:07:28,대 경 경 ㅋㅋㅋㅋㅋㅋ,- dc official App,41,41.0
2024-07-08 00:07:30,병장님 조용히 12위,- dc official App,41,41.0
2024-07-08 00:07:31,해머타임입갤ㅋㅋㅋㅋㅋ,- dc official App,41,41.0
2024-07-08 00:07:32,맥라렌 시발 피트에서 다 까먹네 ㅋㅋㅋㅋㅋㅋㅋ,,41,41.0
2024-07-08 00:07:31,와 물탕이형 우승가나 ㅋㅋㅋㅋㅋㅋㅋ,- dc official App,41,41.0
2024-07-08 00:07:30,물탕아 가즈아아이아,- dc official App,41,41.0
2024-07-08 00:07:33,이건 누리스 잘못이지ㅋㅋㅋ,왜 거기서 곤조부리냐,41,41.0
2024-07-08 00:07:34,물탕 노리스 리타후 막스우승??ㅋㅋㅋ,,41,41.0
2024-07-08 00:07:35,경 보여주나 ㅋㅋㅋㅋㅋㅋ,,41,41.0
2024-07-08 00:07:35,함성소리 시발ㅋㅋㅋㅋㅋㅋ,진짜 개지리네,41,41.0
2024-07-08 00:07:35,막가놈 꾸역꾸역 포디움 들어가는거 보소ㅋㅋㅋㅋ,,41,41.0
2024-07-08 00:07:39,함성 지리네 ㅋㅋ,- dc official App,41,41.0
2024-07-08 00:07:40,같은 영국인아니노? 반응차이 ㅈ되네 ㅋㅋㅋㅋㅋ,대 물 경 ㅋㅋㅋ,41,41.0
2024-07-08 00:07:41,막스는 뭐 한거냐??,하드 뭐한겨,41,41.0
2024-07-08 00:07:42,오늘 깃발 함 흔들어주나요,,41,41.0
2024-07-08 00:07:43,정보) 해밀턴 우승시 단일GP최다우승,9회ㅇㅇ,41,41.0
2024-07-08 00:07:43,마루타 괜찮냐,짤리는거 아니노,41,41.0
2024-07-08 00:07:45,저우 +2렙 ㅋㅋㅋㅋㅋㅋ,산책나왔노,41,41.0
2024-07-08 00:07:45,맥 시발 뭐해 ㅋㅋㅋㅋ,,41,41.0
2024-07-08 00:07:47,유니언잭 입갤 가나욧ㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅㅅ,ㅅㅂㅋㅋ,41,41.0
2024-07-08 00:07:47,대 물 탕 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,41,41.0
2024-07-08 00:07:48,마루타도 논란이 되나,"“저희 나라의 역사 인뎁쇼?”
- dc official App",41,41.0
2024-07-08 00:07:49,물탕견 환호 ㅋㅋㅋㅋㅋㅋ,,41,41.0
2024-07-08 00:07:51,함성보소 ㄷㄷ,오직 경 뿐,41,41.0
