post_timestamp,post_title,post_content,Lap_Label,LapNumber,combined_raw_text,processed_text,Toxicity_Score
2024-12-08 22:06:16,병신 컷 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,2,2.0,병신 컷 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,병신 컷 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.9286551475524902
2024-12-08 22:06:17,체코 사망 ㅋㅋㅋㅋ,- dc official App,2,2.0,체코 사망 ㅋㅋㅋㅋ - dc official App,체코 사망 ㅋㅋㅋㅋ - dc official App,0.3710148334503174
2024-12-08 22:06:18,개병신ㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋ,2,2.0,개병신ㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋ,개병신ㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋ,0.9387117624282837
2024-12-08 22:06:17,페레즈 사망 ㅋㅋㅋ,,2,2.0,페레즈 사망 ㅋㅋㅋ ,페레즈 사망 ㅋㅋㅋ,0.8773971199989319
2024-12-08 22:06:17,마지막 레이스 리타이어 ㅋㅋㅋㅋㅋㅋㅋ,,2,2.0,마지막 레이스 리타이어 ㅋㅋㅋㅋㅋㅋㅋ ,마지막 레이스 리타이어 ㅋㅋㅋㅋㅋㅋㅋ,0.43993592262268066
2024-12-08 22:06:17,저 새끼는 진짜..,,2,2.0,저 새끼는 진짜.. ,저 새끼는 진짜..,0.8546780943870544
2024-12-08 22:06:17,또 병신ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,2,2.0,또 병신ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,또 병신ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.5648913383483887
2024-12-08 22:06:18,체황 리타 ㅋㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2,2.0,체황 리타 ㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,체황 리타 ㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.3793088495731354
2024-12-08 22:06:19,병신 레전드,ㅋㅋ,2,2.0,병신 레전드 ㅋㅋ,병신 레전드 ㅋㅋ,0.13463376462459564
2024-12-08 22:06:18,저병신 ㅋㅋㅋㅋㅋ,,2,2.0,저병신 ㅋㅋㅋㅋㅋ ,저병신 ㅋㅋㅋㅋㅋ,0.9250015616416931
2024-12-08 22:06:19,체황 또 억까 ㅠㅠㅠㅠㅠ,,2,2.0,체황 또 억까 ㅠㅠㅠㅠㅠ ,체황 또 억까 ㅠㅠㅠㅠㅠ,0.3540719151496887
2024-12-08 22:06:19,최소 10초지 개좆고아새끼ㅋㅋㅋㅋ,그 애비에 그 아들,2,2.0,최소 10초지 개좆고아새끼ㅋㅋㅋㅋ 그 애비에 그 아들,최소 10초지 개좆고아새끼ㅋㅋㅋㅋ 그 애비에 그 아들,0.9593822360038757
2024-12-08 22:06:20,이번만이다 페라리,가라,2,2.0,이번만이다 페라리 가라,이번만이다 페라리 가라,0.17977379262447357
2024-12-08 22:06:20,이 병신아 ㅋㅋㅋㅋㅋ,- dc official App,2,2.0,이 병신아 ㅋㅋㅋㅋㅋ - dc official App,이 병신아 ㅋㅋㅋㅋㅋ - dc official App,0.8068920373916626
2024-12-08 22:06:20,대병신 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,2,2.0,대병신 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,대병신 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.9305150508880615
2024-12-08 22:06:19,병신ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,2,2.0,병신ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,병신ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.9284252524375916
