post_timestamp,post_title,post_content
2024-06-30 22:06:04,이제 페라리는 ㄹㅇ 메르 한테 따였냐,최근메르가계속좋은거같노
2024-06-30 22:06:05,???:미안하다 이거 보여주려고 8등으로 시작한거다,- dc official App
2024-06-30 22:06:11,티비끈 티포시들 개추 좀 눌러볼까?,"잠이나
자자
ㅋㅋㅋㅋㅋㅋ"
2024-06-30 22:06:13,노리스 우승시 버거 뿌림,"진짜루 제발..
- dc official App"
2024-06-30 22:06:14,.,
2024-06-30 22:06:13,르끌 멸망ㅋㅋㅋㅋㅋㅋ,- dc official App
2024-06-30 22:06:23,1.2초차 ㅋㅋㅋ,
2024-06-30 22:06:26,어우막 르끌 멸망 씨발 갤 샤따 닫어라 ㅋㅋㅋㅋㅋㅋ,
2024-06-30 22:06:30,대물탕 ㅋㅋㅋㅋㅋㅋ,
2024-06-30 22:06:31,대 물 탕,
2024-06-30 22:06:31,인터벌 벌어지는거 보솤ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋ
2024-06-30 22:06:34,대 물 탕,- dc official App
2024-06-30 22:06:33,대 물 탕ㅋㅋㅋ,
2024-06-30 22:06:34,대 물 탕 ㅋㅋㅋㅋ,
2024-06-30 22:06:35,경의 품격 ㅋㅋㅋㅋㅋ,
2024-06-30 22:06:36,대물탕ㅋㅋㅋㅋ,
2024-06-30 22:06:39,꼬무룩..,..
2024-06-30 22:06:39,캬 경 ㅋㅋㅋㅋ,- dc official App
2024-06-30 22:06:40,경의 품격ㅋㅋㅋㅋㅋ,ㅋ
2024-06-30 22:06:41,경의 품격ㅋㅋㅋㅋ,ㅋㅋㅋㅋ
2024-06-30 22:06:46,르끌은 모나코 우승에 영혼을 팔았노 ㅋㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋ
2024-06-30 22:06:45,안캐 오프닝랩 재미있다,"안캐 스타트부터 중계해주는거
점점 길어지는데 이부분 나만좋냐?
- dc official App"
2024-06-30 22:06:46,1.6초 ㅇㅈㄹㅋㅋㅋㅋㅋ,
2024-06-30 22:06:48,경의 품,ㅇㅈ
2024-06-30 22:06:48,노리스 영혼의 추적 ㅋㅋㅋ,"직선에서 줄인 시간차
코너에서 다시 벌려지네"
2024-06-30 22:06:48,팀배틀좀  그만해라 ㅋㅋㅋ,
2024-06-30 22:06:49,둘만 재밌는거 하노,
2024-06-30 22:06:49,이제 들어왔는데 르끌 뭔일임?,"왜 나락간거야
- dc official App"
2024-06-30 22:06:49,즉시 나락 ㅋㅋㅋㅋㅋ,
2024-06-30 22:06:49,대물탕ㅋㅋㅋㅋㅋ,
2024-06-30 22:06:50,흑흑이따잇 ㅋㅋ,
2024-06-30 22:06:51,후반에 존나 붙으니깐 초반부터 조지는 전략인가 ㅋㅋㅋ,ㅋㅋㅋㅋ
2024-06-30 22:06:52,쥬지 ㅋㅋㅋㅋㅋ,
2024-06-30 22:06:53,오콘:씨발 우리 왜 느린데(헐크한테 따잇당하며),ㅋㅋㅋㅋㅋㅋㅋㅋ
2024-06-30 22:06:53,경의ㅋㅋㅋ품ㅋㅋㄱ격ㅋㅋ,
2024-06-30 22:06:54,1.6초 ㅋㅋㅋ,.
2024-06-30 22:06:57,메르 뭐하냐 ㅋㅋㅋ,"자멸하노
- dc official App"
2024-06-30 22:06:57,물탕이 이 악물었노,
2024-06-30 22:06:57,차이 계속 벌어지네,
2024-06-30 22:07:01,물탕 따잇 ㅋㅋㅋ,ㅋㅋㅋ
2024-06-30 22:07:02,2차실버워 입갤,
2024-06-30 22:07:06,사전트 이새끼는 피트에서 시작한 저우보다 뒤에있노 ㅋㅋ,아
2024-06-30 22:07:06,막스 우승 ㅊㅊ,ㅊㅊ
2024-06-30 22:07:07,경 ㅋㅋㅋㅋ 의 ㅋㅋㅋㅋ 품ㅋㅋㅋㅋ 격 ㅋㅋㅋㅋㅋ,ㅋㅋㅋㅋ
